Loan_ID,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,Gender_Male,Married_Yes,Education_Not_Graduate,SelfEmployed_Yes,PropertyArea_Semiurban,PropertyArea_Urban,LoanStatus_Y,Cluster
LP001002,0.0,5849,0,128.0,360.0,True,False,False,False,False,True,True,1
LP001003,1.0,4583,1508,128.0,360.0,True,True,False,False,False,False,False,1
LP001008,0.0,6000,0,141.0,360.0,True,False,False,False,False,True,True,1
LP001011,2.0,5417,4196,267.0,360.0,True,True,False,True,False,True,True,1
LP001032,0.0,4950,0,125.0,360.0,True,False,False,False,False,True,True,1
LP001038,0.0,4887,0,133.0,360.0,True,True,True,False,False,False,False,1
LP001046,1.0,5955,5625,315.0,360.0,True,True,False,False,False,True,True,1
LP001073,2.0,4226,1040,110.0,360.0,True,True,True,False,False,True,True,1
LP001097,1.0,4692,0,106.0,360.0,True,False,False,True,False,False,False,1
LP001136,0.0,4695,0,96.0,360.0,True,True,True,True,False,True,True,1
LP001138,1.0,5649,0,44.0,360.0,True,True,False,False,False,True,True,1
LP001144,0.0,5821,0,144.0,360.0,True,True,False,False,False,True,True,1
LP001164,0.0,4230,0,112.0,360.0,False,False,False,False,True,False,False,1
LP001179,2.0,4616,0,134.0,360.0,True,True,False,False,False,True,False,1
LP001213,1.0,4945,0,128.0,360.0,True,True,False,False,False,False,False,1
LP001225,0.0,5726,4595,258.0,360.0,True,True,False,False,True,False,False,1
LP001238,3.0,7100,0,125.0,60.0,True,True,True,True,False,True,True,1
LP001241,0.0,4300,0,136.0,360.0,False,False,False,False,True,False,False,1
LP001250,3.0,4755,0,95.0,360.0,True,True,True,False,True,False,False,1
LP001253,3.0,5266,1774,187.0,360.0,True,True,False,True,True,False,True,1
LP001273,0.0,6000,2250,265.0,360.0,True,True,False,False,True,False,False,1
LP001310,0.0,5695,4167,175.0,360.0,True,True,False,False,True,False,True,1
LP001318,2.0,6250,5654,188.0,180.0,True,True,False,False,True,False,True,1
LP001326,0.0,6782,0,128.0,360.0,True,False,False,False,False,True,False,1
LP001334,0.0,4188,0,115.0,180.0,True,True,True,False,True,False,True,1
LP001345,2.0,4288,3263,133.0,180.0,True,True,True,False,False,True,True,1
LP001349,0.0,4843,3806,151.0,360.0,True,False,False,False,True,False,True,1
LP001356,0.0,4652,3583,128.0,360.0,True,True,False,False,True,False,True,1
LP001370,0.0,7333,0,120.0,360.0,True,False,True,False,False,False,False,1
LP001385,0.0,5316,0,136.0,360.0,True,False,False,False,False,True,True,1
LP001392,1.0,7451,0,128.0,360.0,False,False,False,True,True,False,True,1
LP001398,0.0,5050,0,118.0,360.0,True,False,False,False,True,False,True,1
LP001421,0.0,5568,2142,175.0,360.0,True,True,False,False,False,False,False,1
LP001426,0.0,5667,2667,180.0,360.0,True,True,False,False,False,False,True,1
LP001439,0.0,4300,2014,194.0,360.0,True,True,True,False,False,False,True,1
LP001465,0.0,6080,2569,182.0,360.0,True,True,False,False,False,False,False,1
LP001487,0.0,4895,0,102.0,360.0,True,False,False,False,True,False,True,1
LP001489,0.0,4583,0,84.0,360.0,False,True,False,False,False,False,False,1
LP001493,2.0,4200,1430,129.0,360.0,True,True,True,False,False,False,False,1
LP001497,2.0,5042,2083,185.0,360.0,True,True,False,False,False,False,False,1
LP001498,0.0,5417,0,168.0,360.0,True,False,False,False,False,True,True,1
LP001504,0.0,6950,0,175.0,180.0,True,False,False,True,True,False,True,1
LP001520,0.0,4860,830,125.0,360.0,True,True,False,False,True,False,True,1
LP001528,0.0,6277,0,118.0,360.0,True,False,False,False,False,False,False,1
LP001541,1.0,6000,0,160.0,360.0,True,True,False,False,False,False,True,1
LP001552,0.0,4583,5625,255.0,360.0,True,True,False,False,True,False,True,1
LP001577,0.0,4583,0,112.0,360.0,False,True,False,False,False,False,False,1
LP001594,0.0,5708,5625,187.0,360.0,True,True,False,False,True,False,True,1
LP001603,0.0,4344,736,87.0,360.0,True,True,True,True,True,False,False,1
LP001610,3.0,5516,11300,495.0,360.0,True,True,False,False,True,False,False,1
LP001633,1.0,6400,7250,180.0,360.0,True,True,False,False,False,True,False,1
LP001636,0.0,4600,0,73.0,180.0,True,True,False,False,True,False,True,1
LP001653,0.0,4885,0,48.0,360.0,True,False,True,False,False,False,True,1
LP001657,0.0,6033,0,160.0,360.0,True,True,True,False,False,True,False,1
LP001664,0.0,4191,0,120.0,360.0,True,False,False,False,False,False,True,1
LP001677,2.0,4923,0,166.0,360.0,True,False,False,False,True,False,True,1
LP001692,0.0,4408,0,120.0,360.0,False,False,True,False,True,False,True,1
LP001715,3.0,5703,0,130.0,360.0,True,True,True,True,False,False,True,1
LP001732,2.0,5000,0,72.0,360.0,True,True,False,False,True,False,False,1
LP001734,2.0,4283,2383,127.0,360.0,False,True,False,False,True,False,True,1
LP001750,0.0,6250,0,128.0,360.0,True,True,False,False,True,False,True,1
LP001754,0.0,4735,0,138.0,360.0,True,True,True,True,False,True,False,1
LP001758,2.0,6250,1695,210.0,360.0,True,True,False,False,True,False,True,1
LP001760,0.0,4758,0,158.0,480.0,True,True,False,False,True,False,True,1
LP001761,0.0,6400,0,200.0,360.0,True,False,False,True,False,False,True,1
LP001784,1.0,5500,1260,170.0,360.0,True,True,False,False,False,False,True,1
LP001786,0.0,5746,0,255.0,360.0,True,True,False,False,False,True,False,1
LP001798,2.0,5819,5000,120.0,360.0,True,True,False,False,False,False,True,1
LP001807,2.0,6250,1300,108.0,360.0,True,True,False,True,False,False,True,1
LP001813,0.0,6050,4333,120.0,180.0,True,False,False,True,False,True,False,1
LP001819,1.0,6608,0,137.0,180.0,True,True,True,False,False,True,True,1
LP001849,0.0,6045,0,115.0,360.0,True,False,True,False,False,False,False,1
LP001854,3.0,5250,0,94.0,360.0,True,True,False,False,False,True,False,1
LP001864,3.0,4931,0,128.0,360.0,True,True,True,False,True,False,False,1
LP001865,1.0,6083,4250,330.0,360.0,True,True,False,False,False,True,True,1
LP001871,0.0,7200,0,120.0,360.0,False,False,False,False,False,False,True,1
LP001872,0.0,5166,0,128.0,360.0,True,False,False,True,True,False,True,1
LP001877,2.0,4708,1387,150.0,360.0,True,True,False,False,True,False,True,1
LP001882,3.0,4333,1811,160.0,360.0,True,True,False,False,False,True,True,1
LP001938,2.0,4400,0,127.0,360.0,True,True,False,False,True,False,False,1
LP001945,0.0,5417,0,143.0,480.0,False,False,False,False,False,True,False,1
LP001949,3.0,4416,1250,110.0,360.0,True,True,False,False,False,True,True,1
LP001953,1.0,6875,0,200.0,360.0,True,True,False,False,True,False,True,1
LP001954,1.0,4666,0,135.0,360.0,False,True,False,False,False,True,True,1
LP001955,0.0,5000,2541,151.0,480.0,False,False,False,False,False,False,False,1
LP001974,0.0,5000,0,132.0,360.0,False,False,False,False,False,False,True,1
LP002008,2.0,5746,0,144.0,84.0,True,True,False,True,False,False,True,1
LP002053,3.0,4342,189,124.0,360.0,True,True,False,False,True,False,True,1
LP002068,0.0,4917,0,130.0,360.0,True,False,False,False,False,False,True,1
LP002082,0.0,5818,2160,184.0,360.0,True,True,False,True,True,False,True,1
LP002086,0.0,4333,2451,110.0,360.0,False,True,False,False,False,True,False,1
LP002097,1.0,4384,1793,117.0,360.0,True,False,False,False,False,True,True,1
LP002106,0.0,5503,4490,70.0,360.0,True,True,False,True,True,False,True,1
LP002110,1.0,5250,688,160.0,360.0,True,True,False,False,False,False,True,1
LP002119,1.0,4554,1229,158.0,360.0,True,True,True,False,False,True,True,1
LP002137,0.0,6333,4583,259.0,360.0,True,True,False,False,True,False,True,1
LP002142,0.0,5500,0,105.0,360.0,False,True,False,True,False,False,False,1
LP002160,3.0,5167,3167,200.0,360.0,True,True,False,False,True,False,True,1
LP002161,1.0,4723,0,81.0,360.0,False,False,False,False,True,False,False,1
LP002170,2.0,5000,3667,236.0,360.0,True,True,False,False,True,False,True,1
LP002175,0.0,4750,2333,130.0,360.0,True,True,False,False,False,True,True,1
LP002180,0.0,6822,0,141.0,360.0,True,False,False,True,False,False,True,1
LP002181,0.0,6216,0,133.0,360.0,True,False,True,False,False,False,False,1
LP002188,0.0,5124,0,124.0,360.0,True,False,False,False,False,False,False,1
LP002190,1.0,6325,0,175.0,360.0,True,True,False,False,True,False,True,1
LP002197,2.0,5185,0,155.0,360.0,True,True,False,False,True,False,True,1
LP002211,0.0,4817,923,120.0,180.0,True,True,False,False,False,True,True,1
LP002223,0.0,4310,0,130.0,360.0,True,True,False,False,True,False,True,1
LP002225,2.0,5391,0,130.0,360.0,True,True,False,False,False,True,True,1
LP002229,0.0,5941,4232,296.0,360.0,True,False,False,False,True,False,True,1
LP002231,0.0,6000,0,156.0,360.0,False,False,False,False,False,True,True,1
LP002234,0.0,7167,0,128.0,360.0,True,False,False,True,False,True,True,1
LP002236,2.0,4566,0,100.0,360.0,True,True,False,False,False,True,False,1
LP002250,0.0,5488,0,125.0,360.0,True,True,False,False,False,False,True,1
LP002301,0.0,7441,0,194.0,360.0,False,False,False,True,False,False,False,1
LP002305,0.0,4547,0,115.0,360.0,False,False,False,False,True,False,True,1
LP002319,0.0,6256,0,160.0,360.0,True,True,False,False,False,True,True,1
LP002328,0.0,6096,0,218.0,360.0,True,True,True,False,False,False,False,1
LP002348,0.0,5829,0,138.0,360.0,True,True,False,False,False,False,True,1
LP002362,1.0,7250,1667,110.0,360.0,True,True,False,False,False,True,False,1
LP002367,1.0,4606,0,81.0,360.0,False,False,True,False,False,False,False,1
LP002368,2.0,5935,0,133.0,360.0,True,True,False,False,True,False,True,1
LP002379,0.0,6500,0,105.0,360.0,True,False,False,False,False,False,False,1
LP002407,0.0,7142,0,138.0,360.0,False,True,True,True,False,False,True,1
LP002418,3.0,4707,1993,148.0,360.0,True,False,True,False,True,False,True,1
LP002424,0.0,7333,8333,175.0,300.0,True,True,False,False,False,False,True,1
LP002434,2.0,4652,0,110.0,360.0,True,True,True,False,False,False,True,1
LP002453,0.0,7085,0,84.0,360.0,True,False,False,True,True,False,True,1
LP002459,0.0,4301,0,118.0,360.0,True,True,False,False,False,True,True,1
LP002472,2.0,4354,0,136.0,360.0,True,False,False,False,False,False,True,1
LP002489,1.0,5191,0,132.0,360.0,False,False,True,False,True,False,True,1
LP002494,0.0,6000,0,140.0,360.0,True,False,False,False,False,False,True,1
LP002505,0.0,4333,2451,110.0,360.0,True,True,False,False,False,True,False,1
LP002519,3.0,4691,0,100.0,360.0,True,True,False,False,True,False,True,1
LP002524,2.0,5532,4648,162.0,360.0,True,False,False,False,False,False,True,1
LP002529,2.0,6700,1750,230.0,300.0,True,True,False,False,True,False,True,1
LP002534,0.0,4350,0,154.0,360.0,False,False,True,False,False,False,True,1
LP002555,2.0,4583,2083,160.0,360.0,True,True,False,True,True,False,True,1
LP002562,1.0,5333,1131,186.0,360.0,True,True,True,False,False,True,True,1
LP002588,0.0,4625,2857,111.0,12.0,True,True,False,False,False,True,True,1
LP002602,0.0,6283,4416,209.0,360.0,True,False,False,False,False,False,False,1
LP002615,2.0,4865,5624,208.0,360.0,True,True,False,False,True,False,True,1
LP002640,1.0,6065,2004,250.0,360.0,True,True,False,False,True,False,True,1
LP002652,0.0,5815,3666,311.0,360.0,True,False,False,False,False,False,False,1
LP002683,0.0,4683,1915,185.0,360.0,True,False,False,False,True,False,False,1
LP002692,3.0,5677,1424,100.0,360.0,True,True,False,True,False,False,True,1
LP002697,0.0,4680,2087,128.0,360.0,True,False,False,False,True,False,False,1
LP002706,1.0,5285,1430,161.0,360.0,True,True,True,False,True,False,True,1
LP002716,0.0,6783,0,130.0,360.0,True,False,True,False,True,False,True,1
LP002720,3.0,4281,0,100.0,360.0,True,True,False,False,False,True,True,1
LP002734,0.0,6133,3906,324.0,360.0,True,True,False,False,False,True,True,1
LP002740,3.0,6417,0,157.0,180.0,True,True,False,False,False,False,True,1
LP002741,1.0,4608,2845,140.0,180.0,False,True,False,False,True,False,True,1
LP002776,0.0,5000,0,103.0,360.0,False,False,False,False,True,False,False,1
LP002778,2.0,6633,0,128.0,360.0,True,True,False,True,False,False,False,1
LP002792,1.0,5468,1032,26.0,360.0,True,True,False,False,True,False,True,1
LP002804,0.0,4180,2306,182.0,360.0,False,True,False,False,True,False,True,1
LP002820,0.0,5923,2054,211.0,360.0,True,True,False,False,False,False,True,1
LP002821,0.0,5800,0,132.0,360.0,True,False,True,True,True,False,True,1
LP002833,0.0,4467,0,120.0,360.0,True,True,True,False,False,False,True,1
LP002847,0.0,5116,1451,165.0,360.0,True,True,False,False,False,True,False,1
LP002862,2.0,6125,1625,187.0,480.0,True,True,True,False,True,False,False,1
LP002863,3.0,6406,0,150.0,360.0,True,True,False,False,True,False,False,1
LP002892,2.0,6540,0,205.0,360.0,True,True,False,False,True,False,True,1
LP002912,1.0,4283,3000,172.0,84.0,True,True,False,False,False,False,False,1
LP002925,0.0,4750,0,94.0,360.0,True,False,False,False,True,False,True,1
LP002931,2.0,6000,0,205.0,240.0,True,True,False,True,True,False,False,1
LP002941,2.0,6383,1000,187.0,360.0,True,True,True,True,False,False,False,1
LP002948,2.0,5780,0,192.0,360.0,True,True,False,False,False,True,True,1
LP002953,3.0,5703,0,128.0,360.0,True,True,False,False,False,True,True,1
LP002990,0.0,4583,0,133.0,360.0,False,False,False,True,True,False,False,1
