Loan_ID,Gender,Married,Dependents,Education,SelfEmployed,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,PropertyArea,LoanStatus
001002,Male,No,0,Graduate,No,5849,0,,360,Urban,Y
001003,Male,Yes,1,Graduate,No,4583,1508,128,360,Rural,N
001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,Urban,Y
001006,Male,Yes,0,Not_Graduate,No,2583,2358,120,360,Urban,Y
001008,Male,No,0,Graduate,No,6000,0,141,360,Urban,Y
001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,Urban,Y
001013,Male,Yes,0,Not_Graduate,No,2333,1516,95,360,Urban,Y
001014,Male,Yes,3,Graduate,No,3036,2504,158,360,Semiurban,N
001018,Male,Yes,2,Graduate,No,4006,1526,168,360,Urban,Y
001020,Male,Yes,1,Graduate,No,12841,10968,349,360,Semiurban,N
001024,Male,Yes,2,Graduate,No,3200,700,70,360,Urban,Y
001027,Male,Yes,2,Graduate,,2500,1840,109,360,Urban,Y
001028,Male,Yes,2,Graduate,No,3073,8106,200,360,Urban,Y
001029,Male,No,0,Graduate,No,1853,2840,114,360,Rural,N
001030,Male,Yes,2,Graduate,No,1299,1086,17,120,Urban,Y
001032,Male,No,0,Graduate,No,4950,0,125,360,Urban,Y
001034,Male,No,1,Not_Graduate,No,3596,0,100,240,Urban,Y
001036,Female,No,0,Graduate,No,3510,0,76,360,Urban,N
001038,Male,Yes,0,Not_Graduate,No,4887,0,133,360,Rural,N
001041,Male,Yes,0,Graduate,,2600,3500,115,,Urban,Y
001043,Male,Yes,0,Not_Graduate,No,7660,0,104,360,Urban,N
001046,Male,Yes,1,Graduate,No,5955,5625,315,360,Urban,Y
001047,Male,Yes,0,Not_Graduate,No,2600,1911,116,360,Semiurban,N
001050,,Yes,2,Not_Graduate,No,3365,1917,112,360,Rural,N
001052,Male,Yes,1,Graduate,,3717,2925,151,360,Semiurban,N
001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,Semiurban,Y
001068,Male,Yes,0,Graduate,No,2799,2253,122,360,Semiurban,Y
001073,Male,Yes,2,Not_Graduate,No,4226,1040,110,360,Urban,Y
001086,Male,No,0,Not_Graduate,No,1442,0,35,360,Urban,N
001087,Female,No,2,Graduate,,3750,2083,120,360,Semiurban,Y
001091,Male,Yes,1,Graduate,,4166,3369,201,360,Urban,N
001095,Male,No,0,Graduate,No,3167,0,74,360,Urban,N
001097,Male,No,1,Graduate,Yes,4692,0,106,360,Rural,N
001098,Male,Yes,0,Graduate,No,3500,1667,114,360,Semiurban,Y
001100,Male,No,3,Graduate,No,12500,3000,320,360,Rural,N
001106,Male,Yes,0,Graduate,No,2275,2067,,360,Urban,Y
001109,Male,Yes,0,Graduate,No,1828,1330,100,,Urban,N
001112,Female,Yes,0,Graduate,No,3667,1459,144,360,Semiurban,Y
001114,Male,No,0,Graduate,No,4166,7210,184,360,Urban,Y
001116,Male,No,0,Not_Graduate,No,3748,1668,110,360,Semiurban,Y
001119,Male,No,0,Graduate,No,3600,0,80,360,Urban,N
001120,Male,No,0,Graduate,No,1800,1213,47,360,Urban,Y
001123,Male,Yes,0,Graduate,No,2400,0,75,360,Urban,Y
001131,Male,Yes,0,Graduate,No,3941,2336,134,360,Semiurban,Y
001136,Male,Yes,0,Not_Graduate,Yes,4695,0,96,,Urban,Y
001137,Female,No,0,Graduate,No,3410,0,88,,Urban,Y
001138,Male,Yes,1,Graduate,No,5649,0,44,360,Urban,Y
001144,Male,Yes,0,Graduate,No,5821,0,144,360,Urban,Y
001146,Female,Yes,0,Graduate,No,2645,3440,120,360,Urban,N
001151,Female,No,0,Graduate,No,4000,2275,144,360,Semiurban,Y
001155,Female,Yes,0,Not_Graduate,No,1928,1644,100,360,Semiurban,Y
001157,Female,No,0,Graduate,No,3086,0,120,360,Semiurban,Y
001164,Female,No,0,Graduate,No,4230,0,112,360,Semiurban,N
001179,Male,Yes,2,Graduate,No,4616,0,134,360,Urban,N
001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,Urban,N
001194,Male,Yes,2,Graduate,No,2708,1167,97,360,Semiurban,Y
001195,Male,Yes,0,Graduate,No,2132,1591,96,360,Semiurban,Y
001197,Male,Yes,0,Graduate,No,3366,2200,135,360,Rural,N
001198,Male,Yes,1,Graduate,No,8080,2250,180,360,Urban,Y
001199,Male,Yes,2,Not_Graduate,No,3357,2859,144,360,Urban,Y
001205,Male,Yes,0,Graduate,No,2500,3796,120,360,Urban,Y
001206,Male,Yes,3,Graduate,No,3029,0,99,360,Urban,Y
001207,Male,Yes,0,Not_Graduate,Yes,2609,3449,165,180,Rural,N
001213,Male,Yes,1,Graduate,No,4945,0,,360,Rural,N
001222,Female,No,0,Graduate,No,4166,0,116,360,Semiurban,N
001225,Male,Yes,0,Graduate,No,5726,4595,258,360,Semiurban,N
001228,Male,No,0,Not_Graduate,No,3200,2254,126,180,Urban,N
001233,Male,Yes,1,Graduate,No,10750,0,312,360,Urban,Y
001238,Male,Yes,3,Not_Graduate,Yes,7100,0,125,60,Urban,Y
001241,Female,No,0,Graduate,No,4300,0,136,360,Semiurban,N
001243,Male,Yes,0,Graduate,No,3208,3066,172,360,Urban,Y
001245,Male,Yes,2,Not_Graduate,Yes,1875,1875,97,360,Semiurban,Y
001248,Male,No,0,Graduate,No,3500,0,81,300,Semiurban,Y
001250,Male,Yes,3,Not_Graduate,No,4755,0,95,,Semiurban,N
001253,Male,Yes,3,Graduate,Yes,5266,1774,187,360,Semiurban,Y
001255,Male,No,0,Graduate,No,3750,0,113,480,Urban,N
001256,Male,No,0,Graduate,No,3750,4750,176,360,Urban,N
001259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,Urban,N
001263,Male,Yes,3,Graduate,No,3167,4000,180,300,Semiurban,N
001264,Male,Yes,3,Not_Graduate,Yes,3333,2166,130,360,Semiurban,Y
001265,Female,No,0,Graduate,No,3846,0,111,360,Semiurban,Y
001266,Male,Yes,1,Graduate,Yes,2395,0,,360,Semiurban,Y
001267,Female,Yes,2,Graduate,No,1378,1881,167,360,Urban,N
001273,Male,Yes,0,Graduate,No,6000,2250,265,360,Semiurban,N
001275,Male,Yes,1,Graduate,No,3988,0,50,240,Urban,Y
001279,Male,No,0,Graduate,No,2366,2531,136,360,Semiurban,Y
001280,Male,Yes,2,Not_Graduate,No,3333,2000,99,360,Semiurban,Y
001282,Male,Yes,0,Graduate,No,2500,2118,104,360,Semiurban,Y
001289,Male,No,0,Graduate,No,8566,0,210,360,Urban,Y
001310,Male,Yes,0,Graduate,No,5695,4167,175,360,Semiurban,Y
001316,Male,Yes,0,Graduate,No,2958,2900,131,360,Semiurban,Y
001318,Male,Yes,2,Graduate,No,6250,5654,188,180,Semiurban,Y
001319,Male,Yes,2,Not_Graduate,No,3273,1820,81,360,Urban,Y
001322,Male,No,0,Graduate,No,4133,0,122,360,Semiurban,Y
001325,Male,No,0,Not_Graduate,No,3620,0,25,120,Semiurban,Y
001326,Male,No,0,Graduate,,6782,0,,360,Urban,N
001327,Female,Yes,0,Graduate,No,2484,2302,137,360,Semiurban,Y
001333,Male,Yes,0,Graduate,No,1977,997,50,360,Semiurban,Y
001334,Male,Yes,0,Not_Graduate,No,4188,0,115,180,Semiurban,Y
001343,Male,Yes,0,Graduate,No,1759,3541,131,360,Semiurban,Y
001345,Male,Yes,2,Not_Graduate,No,4288,3263,133,180,Urban,Y
001349,Male,No,0,Graduate,No,4843,3806,151,360,Semiurban,Y
001350,Male,Yes,,Graduate,No,13650,0,,360,Urban,Y
001356,Male,Yes,0,Graduate,No,4652,3583,,360,Semiurban,Y
001357,Male,,,Graduate,No,3816,754,160,360,Urban,Y
001367,Male,Yes,1,Graduate,No,3052,1030,100,360,Urban,Y
001369,Male,Yes,2,Graduate,No,11417,1126,225,360,Urban,Y
001370,Male,No,0,Not_Graduate,,7333,0,120,360,Rural,N
001379,Male,Yes,2,Graduate,No,3800,3600,216,360,Urban,N
001384,Male,Yes,3,Not_Graduate,No,2071,754,94,480,Semiurban,Y
001385,Male,No,0,Graduate,No,5316,0,136,360,Urban,Y
001387,Female,Yes,0,Graduate,,2929,2333,139,360,Semiurban,Y
001391,Male,Yes,0,Not_Graduate,No,3572,4114,152,,Rural,N
001392,Female,No,1,Graduate,Yes,7451,0,,360,Semiurban,Y
001398,Male,No,0,Graduate,,5050,0,118,360,Semiurban,Y
001401,Male,Yes,1,Graduate,No,14583,0,185,180,Rural,Y
001404,Female,Yes,0,Graduate,No,3167,2283,154,360,Semiurban,Y
001405,Male,Yes,1,Graduate,No,2214,1398,85,360,Urban,Y
001421,Male,Yes,0,Graduate,No,5568,2142,175,360,Rural,N
001422,Female,No,0,Graduate,No,10408,0,259,360,Urban,Y
001426,Male,Yes,,Graduate,No,5667,2667,180,360,Rural,Y
001430,Female,No,0,Graduate,No,4166,0,44,360,Semiurban,Y
001431,Female,No,0,Graduate,No,2137,8980,137,360,Semiurban,Y
001432,Male,Yes,2,Graduate,No,2957,0,81,360,Semiurban,Y
001439,Male,Yes,0,Not_Graduate,No,4300,2014,194,360,Rural,Y
001443,Female,No,0,Graduate,No,3692,0,93,360,Rural,Y
001448,,Yes,3,Graduate,No,23803,0,370,360,Rural,Y
001449,Male,No,0,Graduate,No,3865,1640,,360,Rural,Y
001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,Urban,N
001465,Male,Yes,0,Graduate,No,6080,2569,182,360,Rural,N
001469,Male,No,0,Graduate,Yes,20166,0,650,480,Urban,Y
001473,Male,No,0,Graduate,No,2014,1929,74,360,Urban,Y
001478,Male,No,0,Graduate,No,2718,0,70,360,Semiurban,Y
001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,Semiurban,Y
001487,Male,No,0,Graduate,No,4895,0,102,360,Semiurban,Y
001488,Male,Yes,3,Graduate,No,4000,7750,290,360,Semiurban,N
001489,Female,Yes,0,Graduate,No,4583,0,84,360,Rural,N
001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,Urban,Y
001492,Male,No,0,Graduate,No,14999,0,242,360,Semiurban,N
001493,Male,Yes,2,Not_Graduate,No,4200,1430,129,360,Rural,N
001497,Male,Yes,2,Graduate,No,5042,2083,185,360,Rural,N
001498,Male,No,0,Graduate,No,5417,0,168,360,Urban,Y
001504,Male,No,0,Graduate,Yes,6950,0,175,180,Semiurban,Y
001507,Male,Yes,0,Graduate,No,2698,2034,122,360,Semiurban,Y
001508,Male,Yes,2,Graduate,No,11757,0,187,180,Urban,Y
001514,Female,Yes,0,Graduate,No,2330,4486,100,360,Semiurban,Y
001516,Female,Yes,2,Graduate,No,14866,0,70,360,Urban,Y
001518,Male,Yes,1,Graduate,No,1538,1425,30,360,Urban,Y
001519,Female,No,0,Graduate,No,10000,1666,225,360,Rural,N
001520,Male,Yes,0,Graduate,No,4860,830,125,360,Semiurban,Y
001528,Male,No,0,Graduate,No,6277,0,118,360,Rural,N
001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,Rural,Y
001531,Male,No,0,Graduate,No,9166,0,244,360,Urban,N
001532,Male,Yes,2,Not_Graduate,No,2281,0,113,360,Rural,N
001535,Male,No,0,Graduate,No,3254,0,50,360,Urban,Y
001536,Male,Yes,3,Graduate,No,39999,0,600,180,Semiurban,Y
001541,Male,Yes,1,Graduate,No,6000,0,160,360,Rural,Y
001543,Male,Yes,1,Graduate,No,9538,0,187,360,Urban,Y
001546,Male,No,0,Graduate,,2980,2083,120,360,Rural,Y
001552,Male,Yes,0,Graduate,No,4583,5625,255,360,Semiurban,Y
001560,Male,Yes,0,Not_Graduate,No,1863,1041,98,360,Semiurban,Y
001562,Male,Yes,0,Graduate,No,7933,0,275,360,Urban,N
001565,Male,Yes,1,Graduate,No,3089,1280,121,360,Semiurban,N
001570,Male,Yes,2,Graduate,No,4167,1447,158,360,Rural,Y
001572,Male,Yes,0,Graduate,No,9323,0,75,180,Urban,Y
001574,Male,Yes,0,Graduate,No,3707,3166,182,,Rural,Y
001577,Female,Yes,0,Graduate,No,4583,0,112,360,Rural,N
001578,Male,Yes,0,Graduate,No,2439,3333,129,360,Rural,Y
001579,Male,No,0,Graduate,No,2237,0,63,480,Semiurban,N
001580,Male,Yes,2,Graduate,No,8000,0,200,360,Semiurban,Y
001581,Male,Yes,0,Not_Graduate,,1820,1769,95,360,Rural,Y
001585,,Yes,3,Graduate,No,51763,0,700,300,Urban,Y
001586,Male,Yes,3,Not_Graduate,No,3522,0,81,180,Rural,N
001594,Male,Yes,0,Graduate,No,5708,5625,187,360,Semiurban,Y
001603,Male,Yes,0,Not_Graduate,Yes,4344,736,87,360,Semiurban,N
001606,Male,Yes,0,Graduate,No,3497,1964,116,360,Rural,Y
001608,Male,Yes,2,Graduate,No,2045,1619,101,360,Rural,Y
001610,Male,Yes,3,Graduate,No,5516,11300,495,360,Semiurban,N
001616,Male,Yes,1,Graduate,No,3750,0,116,360,Semiurban,Y
001630,Male,No,0,Not_Graduate,No,2333,1451,102,480,Urban,N
001633,Male,Yes,1,Graduate,No,6400,7250,180,360,Urban,N
001634,Male,No,0,Graduate,No,1916,5063,67,360,Rural,N
001636,Male,Yes,0,Graduate,No,4600,0,73,180,Semiurban,Y
001637,Male,Yes,1,Graduate,No,33846,0,260,360,Semiurban,N
001639,Female,Yes,0,Graduate,No,3625,0,108,360,Semiurban,Y
001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,Semiurban,Y
001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,Rural,N
001643,Male,Yes,0,Graduate,No,2383,2138,58,360,Rural,Y
001644,,Yes,0,Graduate,Yes,674,5296,168,360,Rural,Y
001647,Male,Yes,0,Graduate,No,9328,0,188,180,Rural,Y
001653,Male,No,0,Not_Graduate,No,4885,0,48,360,Rural,Y
001656,Male,No,0,Graduate,No,12000,0,164,360,Semiurban,N
001657,Male,Yes,0,Not_Graduate,No,6033,0,160,360,Urban,N
001658,Male,No,0,Graduate,No,3858,0,76,360,Semiurban,Y
001664,Male,No,0,Graduate,No,4191,0,120,360,Rural,Y
001665,Male,Yes,1,Graduate,No,3125,2583,170,360,Semiurban,N
001666,Male,No,0,Graduate,No,8333,3750,187,360,Rural,Y
001669,Female,No,0,Not_Graduate,No,1907,2365,120,,Urban,Y
001671,Female,Yes,0,Graduate,No,3416,2816,113,360,Semiurban,Y
001673,Male,No,0,Graduate,Yes,11000,0,83,360,Urban,N
001674,Male,Yes,1,Not_Graduate,No,2600,2500,90,360,Semiurban,Y
001677,Male,No,2,Graduate,No,4923,0,166,360,Semiurban,Y
001682,Male,Yes,3,Not_Graduate,No,3992,0,,180,Urban,N
001688,Male,Yes,1,Not_Graduate,No,3500,1083,135,360,Urban,Y
001691,Male,Yes,2,Not_Graduate,No,3917,0,124,360,Semiurban,Y
001692,Female,No,0,Not_Graduate,No,4408,0,120,360,Semiurban,Y
001693,Female,No,0,Graduate,No,3244,0,80,360,Urban,Y
001698,Male,No,0,Not_Graduate,No,3975,2531,55,360,Rural,Y
001699,Male,No,0,Graduate,No,2479,0,59,360,Urban,Y
001702,Male,No,0,Graduate,No,3418,0,127,360,Semiurban,N
001708,Female,No,0,Graduate,No,10000,0,214,360,Semiurban,N
001711,Male,Yes,3,Graduate,No,3430,1250,128,360,Semiurban,N
001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,Urban,Y
001715,Male,Yes,3,Not_Graduate,Yes,5703,0,130,360,Rural,Y
001716,Male,Yes,0,Graduate,No,3173,3021,137,360,Urban,Y
001720,Male,Yes,3,Not_Graduate,No,3850,983,100,360,Semiurban,Y
001722,Male,Yes,0,Graduate,No,150,1800,135,360,Rural,N
001726,Male,Yes,0,Graduate,No,3727,1775,131,360,Semiurban,Y
001732,Male,Yes,2,Graduate,,5000,0,72,360,Semiurban,N
001734,Female,Yes,2,Graduate,No,4283,2383,127,360,Semiurban,Y
001736,Male,Yes,0,Graduate,No,2221,0,60,360,Urban,N
001743,Male,Yes,2,Graduate,No,4009,1717,116,360,Semiurban,Y
001744,Male,No,0,Graduate,No,2971,2791,144,360,Semiurban,Y
001749,Male,Yes,0,Graduate,No,7578,1010,175,,Semiurban,Y
001750,Male,Yes,0,Graduate,No,6250,0,128,360,Semiurban,Y
001751,Male,Yes,0,Graduate,No,3250,0,170,360,Rural,N
001754,Male,Yes,,Not_Graduate,Yes,4735,0,138,360,Urban,N
001758,Male,Yes,2,Graduate,No,6250,1695,210,360,Semiurban,Y
001760,Male,,,Graduate,No,4758,0,158,480,Semiurban,Y
001761,Male,No,0,Graduate,Yes,6400,0,200,360,Rural,Y
001765,Male,Yes,1,Graduate,No,2491,2054,104,360,Semiurban,Y
001768,Male,Yes,0,Graduate,,3716,0,42,180,Rural,Y
001770,Male,No,0,Not_Graduate,No,3189,2598,120,,Rural,Y
001776,Female,No,0,Graduate,No,8333,0,280,360,Semiurban,Y
001778,Male,Yes,1,Graduate,No,3155,1779,140,360,Semiurban,Y
001784,Male,Yes,1,Graduate,No,5500,1260,170,360,Rural,Y
001786,Male,Yes,0,Graduate,,5746,0,255,360,Urban,N
001788,Female,No,0,Graduate,Yes,3463,0,122,360,Urban,Y
001790,Female,No,1,Graduate,No,3812,0,112,360,Rural,Y
001792,Male,Yes,1,Graduate,No,3315,0,96,360,Semiurban,Y
001798,Male,Yes,2,Graduate,No,5819,5000,120,360,Rural,Y
001800,Male,Yes,1,Not_Graduate,No,2510,1983,140,180,Urban,N
001806,Male,No,0,Graduate,No,2965,5701,155,60,Urban,Y
001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,Rural,Y
001811,Male,Yes,0,Not_Graduate,No,3406,4417,123,360,Semiurban,Y
001813,Male,No,0,Graduate,Yes,6050,4333,120,180,Urban,N
001814,Male,Yes,2,Graduate,No,9703,0,112,360,Urban,Y
001819,Male,Yes,1,Not_Graduate,No,6608,0,137,180,Urban,Y
001824,Male,Yes,1,Graduate,No,2882,1843,123,480,Semiurban,Y
001825,Male,Yes,0,Graduate,No,1809,1868,90,360,Urban,Y
001835,Male,Yes,0,Not_Graduate,No,1668,3890,201,360,Semiurban,N
001836,Female,No,2,Graduate,No,3427,0,138,360,Urban,N
001841,Male,No,0,Not_Graduate,Yes,2583,2167,104,360,Rural,Y
001843,Male,Yes,1,Not_Graduate,No,2661,7101,279,180,Semiurban,Y
001844,Male,No,0,Graduate,Yes,16250,0,192,360,Urban,N
001846,Female,No,3,Graduate,No,3083,0,255,360,Rural,Y
001849,Male,No,0,Not_Graduate,No,6045,0,115,360,Rural,N
001854,Male,Yes,3,Graduate,No,5250,0,94,360,Urban,N
001859,Male,Yes,0,Graduate,No,14683,2100,304,360,Rural,N
001864,Male,Yes,3,Not_Graduate,No,4931,0,128,360,Semiurban,N
001865,Male,Yes,1,Graduate,No,6083,4250,330,360,Urban,Y
001868,Male,No,0,Graduate,No,2060,2209,134,360,Semiurban,Y
001870,Female,No,1,Graduate,No,3481,0,155,36,Semiurban,N
001871,Female,No,0,Graduate,No,7200,0,120,360,Rural,Y
001872,Male,No,0,Graduate,Yes,5166,0,128,360,Semiurban,Y
001875,Male,No,0,Graduate,No,4095,3447,151,360,Rural,Y
001877,Male,Yes,2,Graduate,No,4708,1387,150,360,Semiurban,Y
001882,Male,Yes,3,Graduate,No,4333,1811,160,360,Urban,Y
001883,Female,No,0,Graduate,,3418,0,135,360,Rural,N
001884,Female,No,1,Graduate,No,2876,1560,90,360,Urban,Y
001888,Female,No,0,Graduate,No,3237,0,30,360,Urban,Y
001891,Male,Yes,0,Graduate,No,11146,0,136,360,Urban,Y
001892,Male,No,0,Graduate,No,2833,1857,126,360,Rural,Y
001894,Male,Yes,0,Graduate,No,2620,2223,150,360,Semiurban,Y
001896,Male,Yes,2,Graduate,No,3900,0,90,360,Semiurban,Y
001900,Male,Yes,1,Graduate,No,2750,1842,115,360,Semiurban,Y
001903,Male,Yes,0,Graduate,No,3993,3274,207,360,Semiurban,Y
001904,Male,Yes,0,Graduate,No,3103,1300,80,360,Urban,Y
001907,Male,Yes,0,Graduate,No,14583,0,436,360,Semiurban,Y
001908,Female,Yes,0,Not_Graduate,No,4100,0,124,360,Rural,Y
001910,Male,No,1,Not_Graduate,Yes,4053,2426,158,360,Urban,N
001914,Male,Yes,0,Graduate,No,3927,800,112,360,Semiurban,Y
001915,Male,Yes,2,Graduate,No,2301,9857999878,78,180,Urban,Y
001917,Female,No,0,Graduate,No,1811,1666,54,360,Urban,Y
001922,Male,Yes,0,Graduate,No,20667,0,,360,Rural,N
001924,Male,No,0,Graduate,No,3158,3053,89,360,Rural,Y
001925,Female,No,0,Graduate,Yes,2600,1717,99,300,Semiurban,N
001926,Male,Yes,0,Graduate,No,3704,2000,120,360,Rural,Y
001931,Female,No,0,Graduate,No,4124,0,115,360,Semiurban,Y
001935,Male,No,0,Graduate,No,9508,0,187,360,Rural,Y
001936,Male,Yes,0,Graduate,No,3075,2416,139,360,Rural,Y
001938,Male,Yes,2,Graduate,No,4400,0,127,360,Semiurban,N
001940,Male,Yes,2,Graduate,No,3153,1560,134,360,Urban,Y
001945,Female,No,,Graduate,No,5417,0,143,480,Urban,N
001947,Male,Yes,0,Graduate,No,2383,3334,172,360,Semiurban,Y
001949,Male,Yes,3,Graduate,,4416,1250,110,360,Urban,Y
001953,Male,Yes,1,Graduate,No,6875,0,200,360,Semiurban,Y
001954,Female,Yes,1,Graduate,No,4666,0,135,360,Urban,Y
001955,Female,No,0,Graduate,No,5000,2541,151,480,Rural,N
001963,Male,Yes,1,Graduate,No,2014,2925,113,360,Urban,N
001964,Male,Yes,0,Not_Graduate,No,1800,2934,93,360,Urban,N
001972,Male,Yes,,Not_Graduate,No,2875,1750,105,360,Semiurban,Y
001974,Female,No,0,Graduate,No,5000,0,132,360,Rural,Y
001977,Male,Yes,1,Graduate,No,1625,1803,96,360,Urban,Y
001978,Male,No,0,Graduate,No,4000,2500,140,360,Rural,Y
001990,Male,No,0,Not_Graduate,No,2000,0,,360,Urban,N
